input_question,reference_answer,expected_score_range
"What are the main differences between a credit union and a commercial bank?","Credit unions and commercial banks differ in several key ways: (1) Ownership structure - credit unions are member-owned cooperatives while banks are owned by shareholders; (2) Profit orientation - credit unions are non-profit organizations that return profits to members through better rates and lower fees, while banks are for-profit entities focused on shareholder returns; (3) Membership - credit unions serve specific groups (employees, communities, organizations) while banks serve the general public; (4) Governance - credit unions operate democratically with member voting rights, while banks are controlled by shareholders and boards; (5) Products - both offer similar services (loans, deposits, checking accounts) but credit unions typically provide better rates on loans and higher rates on deposits due to their non-profit status.",high (0.8-1.0)
"What are the primary functions of the Federal Reserve System?","The Federal Reserve mainly controls interest rates and prints money. They also supervise some banks.",low (0.0-0.3)
"What services do investment banks typically provide?","Investment banks provide several key services: (1) Underwriting - helping companies and governments raise capital by issuing and selling securities (stocks, bonds) in public markets; (2) Mergers and acquisitions (M&A) advisory - providing strategic advice and facilitating corporate transactions, buyouts, and mergers; (3) Sales and trading - buying and selling securities for institutional clients and proprietary trading; (4) Research - providing market analysis, company valuations, and investment recommendations to institutional investors; (5) Asset management - managing portfolios for high-net-worth individuals and institutions; (6) Prime brokerage - providing comprehensive services to hedge funds including securities lending, financing, and clearing services.",high (0.8-1.0)
"What is FDIC insurance and how much coverage does it provide?","FDIC (Federal Deposit Insurance Corporation) insurance is a federal program that protects depositors against bank failures by guaranteeing deposits up to certain limits. The standard coverage is $250,000 per depositor, per insured bank, per ownership category. This means each depositor is insured up to $250,000 for each bank where they have accounts, and different ownership categories (individual accounts, joint accounts, retirement accounts, trust accounts) are separately insured. The insurance automatically covers checking accounts, savings accounts, money market accounts, and certificates of deposit. FDIC insurance is funded by premiums paid by member banks, not taxpayers, and has been backing deposits since 1933.",high (0.8-1.0)
"What is the Tier 1 capital ratio and why is it important for banks?","The Tier 1 capital ratio measures how much money a bank has compared to its loans. Banks need to keep this ratio above 15% or they will be shut down by regulators. It includes all the bank's cash and buildings.",low (0.0-0.3)
"What role do central banks play in the financial system?","Central banks serve several critical roles in the financial system: (1) Monetary policy implementation - setting interest rates and controlling money supply to manage inflation and economic growth; (2) Lender of last resort - providing emergency funding to financial institutions during crises to prevent systemic collapse; (3) Banking system oversight - regulating and supervising commercial banks to ensure stability; (4) Currency issuance - controlling the supply and circulation of national currency; (5) Government banking - managing government accounts and debt issuance; (6) Payment system operation - facilitating interbank payments and settlements; (7) Financial stability monitoring - identifying and addressing systemic risks that could threaten the broader financial system.",high (0.8-1.0)
"How are mutual funds organized and governed?","Mutual funds are investment companies that collect money from people to buy stocks and bonds. They have managers who decide what to buy.",low (0.2-0.4)
"What is credit risk in banking and how do banks manage it?","Credit risk is when borrowers don't pay back loans. Banks manage this by checking credit scores and asking for collateral sometimes.",low (0.2-0.4)
"What are the primary purposes of the International Monetary Fund (IMF)?","The IMF helps countries with economic problems and promotes global financial cooperation. It provides emergency loans and technical assistance.",low (0.3-0.5)
"How do robo-advisors work in wealth management?","Robo-advisors are digital platforms that provide automated investment management services using algorithms and software. They work through the following process: (1) Client onboarding - users complete online questionnaires about their financial situation, risk tolerance, and investment goals; (2) Portfolio construction - algorithms create diversified portfolios typically using low-cost ETFs based on modern portfolio theory; (3) Automated investing - funds are automatically allocated according to the recommended portfolio allocation; (4) Rebalancing - portfolios are automatically rebalanced periodically (monthly or quarterly) to maintain target allocations; (5) Tax optimization - many offer tax-loss harvesting to minimize tax liability; (6) Ongoing monitoring - algorithms continuously monitor portfolios and market conditions. Robo-advisors typically charge lower fees (0.25-0.50% annually) than traditional financial advisors by eliminating human intermediaries while providing 24/7 accessibility and consistent investment discipline.",high (0.8-1.0)
