
prompt,expected_answer,domain_tag
What Bank of America did regulatory action related to anti-money-laundering programs in 2024 report?,a U.S. bank regulator issued a regulatory punishment over anti-money-laundering program shortcomings .,legal
What Goldman Sachs did profit and EPS in Q4 2024 report?,"profit was $4.11 billion, or $11.95 per diluted share .",reports
Reuters reports that Bank of America reported that more than 20% of its loan portfolio was concentrated in a single borrower; is this accurate?,No credible sources report that Bank of America reported that more than 20% of its loan portfolio was concentrated in a single borrower. .,risk
Reuters reports that JPMorgan committed a technology budget of $18 billion for 2025; is this accurate?,No credible sources report that JPMorgan committed a technology budget of $18 billion for 2025. .,IT standards
Did Goldman Sachs really committed to purchase Apple's credit-card portfolio?,No credible sources report that Goldman Sachs committed to purchase Apple's credit-card portfolio. .,news updates
Reuters reports that JPMorgan spun off its consumer bank into a separate company; is this accurate?,No credible sources report that JPMorgan spun off its consumer bank into a separate company. .,news updates
"According to Reuters, what was JPMorgan's annual profit in 2024?",JPMorgan's profit for 2024 was $58.5 billion .,reports
What was the Bank of America for net interest income guidance for 2025 and where is it reported?,NII guidance was $14.5–$14.6 billion for Q1 2025 and $15.5–$15.7 billion for Q4 2025 .,reports
"How did Bank of America's wealth and investment management client balances at the end of 2024 change, according to Reuters?",client balances jumped 12% to a record $4.3 trillion .,reports
Has Bank of America launched a program to triple minority representation by 2025?,No credible sources report that Bank of America launched a program to triple minority representation by 2025. .,HR
Is it true that Bank of America acquired fintech startup FinNova in 2025?,No credible sources report that Bank of America acquired fintech startup FinNova in 2025. .,news updates
Is it true that Charles Schwab announced a merger with Robinhood in 2025?,No credible sources report that Charles Schwab announced a merger with Robinhood in 2025. .,news updates
"According to Reuters, what was Charles Schwab's leadership change in 2024?",Rick Wurster became CEO after Walt Bettinger retired at the end of 2024 .,HR
Provide the Bank of America for regulatory action related to anti-money-laundering programs in 2024 as reported by Reuters.,a U.S. bank regulator issued a regulatory punishment over anti-money-laundering program shortcomings .,legal
"According to Reuters, what was Bank of America's net income for the fourth quarter of 2024?",Bank of America's net income for Q4 2024 was $6.7 billion (82 cents per share) .,reports
Is it true that Bank of America acquired fintech startup CryptoFin in 2025?,No credible sources report that Bank of America acquired fintech startup CryptoFin in 2025. .,news updates
Provide the Goldman Sachs for profit and EPS in Q4 2024 as reported by Reuters.,"profit was $4.11 billion, or $11.95 per diluted share .",reports
Provide the Charles Schwab for adjusted profit per share in Q4 2024 as reported by Reuters.,adjusted profit was $1.01 per share .,reports
Did Charles Schwab really committed to double female leadership representation by 2030?,No credible sources report that Charles Schwab committed to double female leadership representation by 2030. .,HR
Is it true that Charles Schwab announced a plan to acquire JPMorgan's brokerage operations?,No credible sources report that Charles Schwab announced a plan to acquire JPMorgan's brokerage operations. .,news updates
What was the Charles Schwab for adjusted profit per share in Q4 2024 and where is it reported?,adjusted profit was $1.01 per share .,reports
What was the Charles Schwab for profit increase and factors for Q4 2024 and where is it reported?,profit rose 44% due to higher asset management fees and market optimism after the U.S. election .,reports
Is it true that JPMorgan acquired Robinhood in 2024?,No credible sources report that JPMorgan acquired Robinhood in 2024. .,news updates
What was the JPMorgan for fourth-quarter 2024 profit and where is it reported?,"JPMorgan earned $14 billion, or $4.81 per share, in Q4 2024 .",reports
Reuters reports that Charles Schwab announced a plan to acquire JPMorgan's brokerage operations; is this accurate?,No credible sources report that Charles Schwab announced a plan to acquire JPMorgan's brokerage operations. .,news updates
Provide the Bank of America for net interest income in the fourth quarter of 2024 as reported by Reuters.,net interest income rose 3% to $14.4 billion .,reports
"How did Charles Schwab's total net revenues in Q4 2024 change, according to Reuters?","total net revenues were $5.33 billion, up 20% .",reports
Has Goldman Sachs reported a net profit of $1.2 billion in its platform solutions unit in 2024?,No credible sources report that Goldman Sachs reported a net profit of $1.2 billion in its platform solutions unit in 2024. .,reports
What was the JPMorgan for net interest income change in Q4 2024 and where is it reported?,net interest income fell 3% to $23.5 billion .,reports
Has Charles Schwab announced a plan to acquire JPMorgan's brokerage operations?,No credible sources report that Charles Schwab announced a plan to acquire JPMorgan's brokerage operations. .,news updates
Is it true that Goldman Sachs committed to purchase Apple's credit-card portfolio?,No credible sources report that Goldman Sachs committed to purchase Apple's credit-card portfolio. .,news updates
"According to reports, did Bank of America launched a program to triple minority representation by 2025?",No credible sources report that Bank of America launched a program to triple minority representation by 2025. .,HR
Reuters reports that Goldman Sachs announced a diversity initiative to triple representation of women and minorities by 2030; is this accurate?,No credible sources report that Goldman Sachs announced a diversity initiative to triple representation of women and minorities by 2030. .,HR
"According to Reuters, what was Bank of America's sales and trading revenue in Q4 2024?",sales and trading revenue rose 10% to $4.1 billion .,reports
"According to Reuters, what was Charles Schwab's total client assets as of Q4 2024?","total client assets were $10.10 trillion, up 19% .",reports
"How did Bank of America's net income for the fourth quarter of 2024 change, according to Reuters?",Bank of America's net income for Q4 2024 was $6.7 billion (82 cents per share) .,reports
"How did Bank of America's net interest income guidance for 2025 change, according to Reuters?",NII guidance was $14.5–$14.6 billion for Q1 2025 and $15.5–$15.7 billion for Q4 2025 .,reports
What JPMorgan did fourth-quarter 2024 profit report?,"JPMorgan earned $14 billion, or $4.81 per share, in Q4 2024 .",reports
"According to Reuters, what was Goldman Sachs's investment-banking fees in Q2 2025?","investment-banking fees were $2.19 billion, up 26% .",reports
What was the Bank of America for regulatory action related to anti-money-laundering programs in 2024 and where is it reported?,a U.S. bank regulator issued a regulatory punishment over anti-money-laundering program shortcomings .,legal
"How did Goldman Sachs's overall revenue and profit per share for 2024 change, according to Reuters?",overall revenue was $53.51 billion and profit per share was $40.54 .,reports
"According to Reuters, what was Goldman Sachs's profit and EPS in Q4 2024?","profit was $4.11 billion, or $11.95 per diluted share .",reports
"According to Reuters, what was JPMorgan's fourth-quarter 2024 profit?","JPMorgan earned $14 billion, or $4.81 per share, in Q4 2024 .",reports
"According to reports, did Goldman Sachs launched an AI-driven retail bank in 2025?",No credible sources report that Goldman Sachs launched an AI-driven retail bank in 2025. .,news updates
"According to Reuters, what was Goldman Sachs's profit and EPS in Q4 2024?","profit was $4.11 billion, or $11.95 per diluted share .",reports
"According to Reuters, what was Bank of America's net interest income guidance for 2025?",NII guidance was $14.5–$14.6 billion for Q1 2025 and $15.5–$15.7 billion for Q4 2025 .,reports
What was the JPMorgan for fourth-quarter 2024 profit and where is it reported?,"JPMorgan earned $14 billion, or $4.81 per share, in Q4 2024 .",reports
Is it true that Goldman Sachs reported a net profit of $1.2 billion in its platform solutions unit in 2024?,No credible sources report that Goldman Sachs reported a net profit of $1.2 billion in its platform solutions unit in 2024. .,reports
